"Period",City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air,City Air
"Period",Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul
"Period",Jung-gu,Jongno-gu,Jungnang-gu,Dongdaemun-gu,Eunpyeong-gu,Mapo-gu,Yeongdeungpo-gu,Dongjak-gu,Gwanak-gu,Gangnam-gu,Geumcheon-gu,Gangdong-gu,Gangbuk-gu,Seongbuk-gu,Yongsan-gu,Gwangjin-gu,Seongdong-gu,Dobong-gu,Seodaemun-gu,Guro-gu,Seocho-gu,Gangseo-gu,Songpa-gu,Yangcheon-gu,Nowon-gu
"Period",Jung-gu,Jongno-gu,Jungnang-gu,Dongdaemun-gu,Eunpyeong-gu,Mapo-gu,Yeongdeungpo-gu,Dongjak-gu,Gwanak-gu,Gangnam-gu,Geumcheon-gu,Gangdong-gu,Gangbuk-gu,Seongbuk-gu,Yongsan-gu,Gwangjin-gu,Seongdong-gu,Dobong-gu,Seodaemun-gu,Guro-gu,Seocho-gu,Gangseo-gu,Songpa-gu,Yangcheon-gu,Nowon-gu
"2017. 01",34,34,35,33,30,38,32,34,34,32,33,34,31,30,33,36,31,30,29,32,27,31,29,30,34
"2017. 02",29,29,30,27,25,32,28,28,30,30,30,30,25,28,28,31,28,26,26,28,27,27,28,32,28
"2017. 03",38,40,38,34,36,50,38,37,41,44,42,43,33,40,35,44,45,34,37,37,44,36,40,44,37
"2017. 04",26,26,26,22,25,33,24,26,27,25,28,28,23,27,26,25,28,25,28,25,28,25,24,31,26
"2017. 05",22,23,27,21,26,28,21,23,28,23,24,20,22,27,24,23,27,25,27,24,24,24,26,29,25
"2017. 06",21,21,26,20,24,25,21,22,29,22,23,19,20,24,23,20,21,24,24,21,20,22,20,28,23
"2017. 07",22,21,23,19,22,25,21,24,29,23,23,19,21,25,24,20,19,23,23,22,18,21,19,28,22
"2017. 08",13,11,11,12,12,15,13,13,13,12,13,11,10,14,14,10,12,13,14,15,11,13,11,16,12
"2017. 09",19,18,16,18,19,21,18,20,18,19,20,16,16,21,18,16,17,18,20,22,17,22,17,23,19
"2017. 10",16,16,13,14,14,17,14,15,14,15,16,13,13,17,15,14,14,14,15,17,14,18,13,20,18
"2017. 11",23,23,19,18,19,22,19,25,19,25,24,21,20,22,21,25,22,20,22,22,22,23,22,29,25
"2017. 12",31,31,30,32,31,32,32,34,33,34,33,34,28,30,33,32,33,31,28*,35,35,20**,31,31,33
"2018. 01",30,29,33,30,31,34,36,35,35,33,33,36,26,32,32,32,33,32,32*,37,35,34,30,33,32
"2018. 02",28,27,28,31,29,34,33,32,33,30,30,33,26,30,27,29,33,30,26,28,26,30,30,32,30
"2018. 03",30,30,32,35,35,38,39,34,39,34,33,36,29,31,48*,26,37,32,35,42,37,34,31,36,32
"2018. 04",22,22,22,24,28,26,31,23,30,24,23,31,21,24,27,23,30,30,27,28,27,24,25,25,23
"2018. 05",21,19,20,22,29,25,32,22,28,22,20,20,16,25,21,22,26,21,27,20,20,21,23,23,18
"2018. 06",22,20,21,23,30,28,34,24,30,23,23,21,18,25,23,24,25,23,28,26,23,22,24,24,20
"2018. 07",16,17,15,17,20,14,20,14,16,15,16,16,16,16,17,15,15,14,14,13,13,16,15,16,17
"2018. 08",14,13,13,14,19,13,19,12,15,11,14,13,13,14,14,14,14,13,12,13,11,13,13,13,12
"2018. 09",9,9,7,10,14,12,14,8,14,7,11,9,8,10,8,7,10,9,11,8,8,9,9,9,9
"2018. 10",14,14,12,16,18,17,21,12,20,12,16,14,12,14,14,13,14,16,15*,14,15,14,14,13,14
"2018. 11",28,25,24,32,34,32,29,24,38,25,31,26,23,24,28,27,25,32,28*,30,29,27,30*,27,27
"2018. 12",25,23,22,29,24,21,27,24,29,24,27,26,24,20,24,21,22,25,26,20,19,23,27,24,26
"2019. 01",33,33,36,42,33,38,43,40,42,43,40,42,39,32,35,37,41,36,39,30,30,37,37,40,42
"2019. 02",32,31,35,39,31,36,40,39,39,41,37,39,35,30,36,35,40,33,36,29,31,35,32,37,38
"2019. 03",39,39,43,43,42,48,55,46,50,47,42,44,42,36,45,46,51,43,47,44,48,46,41,47,45
"2019. 04",17,17,18,16,21,25,29,19,26,18,19,19,16,18,17,24,23,19,23,23,26,19,24,20,20
"2019. 05",23,23,27,23,30,35,38,27,34,26,26,27,25,29,26,34,30,28,31,36,35,27,31,27,27
"2019. 06",16,15,18,16,22,26,26,18,23,16,18,18,17,19,16,25,22,17,21,23,25,18,20,18,18
"2019. 07",18,17,17,19,21,19,22,22,14,18,18,19,19,15,20,22,20,14,17,18,20,21,16,20,20
"2019. 08",16,17,15,17,18,15,17,20,13,16,16,18,17,15,18,19,12,11,10,14,16,19,13,19,18
"2019. 09",12,13,9*,10*,14,10*,14,12,-,11*,12,13,13,10,11,15,11,9,7,8,11,14,11,13,13
"2019. 10",15,16,12**,13**,16,17**,17,17,15**,14,16,17,18,14,14,17,14,13,12,11,13,18,15,18,17
"2019. 11",20,20,16,18,18,20,21,24,20,19,21,25,21,16,18,20,20,17,14,24,22,24,17,23,22
